parameter_name,Average duration
pvalue,0.08223555
analysis_id,9zr5od76s463r1e
gene_accession_id,MGI:1921493
mouse_strain,C50BL
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
gene_symbol,Slx4ip
