analysis_id,e0dpt37q0jsl6eh
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:1914944
gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6284703
parameter_name,% Pre-pulse inhibition - PPI1
