analysis_id,19z1uo734gza6zx
parameter_id,IMPC_GEL_028_001
parameter_name,Forebrain
pvalue,0.2772654
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_life_stage,Early adult
mouse_strain,C57BL
