analysis_id,4z1m86979692a9y
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
mouse_strain,C57BL
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
mouse_life_stage,Early adult
pvalue,0.7549797
