analysis_id,rrgxhyu5f2ge86a
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,ESLIM_007_001_007
pvalue,0.2594003
mouse_life_stage,Early adult
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
