gene_symbol,Orc2
parameter_name,Number of rears - total
gene_accession_id,MGI:1328306
parameter_id,IMPC_OFD_021_001
analysis_id,pe6f0n0r8z47g77
pvalue,0.1329357
mouse_life_stage,E9.5
mouse_strain,C57BL
