parameter_name,Mean platelet volume
gene_accession_id,MGI:1341628
gene_symbol,Atrn
analysis_id,337ue3m39pa67m0
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
pvalue,0.3932695
mouse_strain,C57BL
