analysis_id,0f9361xi2fvfh4e
gene_accession_id,MGI:1914583
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.8659796
parameter_id,IMPC_FEA_003_001
gene_symbol,Stk35
mouse_strain,C57BL
mouse_life_stage,Early adult
