parameter_id,M-G-P_020_001_001
analysis_id,4y3782q4gojq7ck
parameter_name,Body Weight
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
gene_symbol,Traf6
pvalue,0.5121925
mouse_strain,C57BL
