parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:2446186
parameter_name,Hemorrhage
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.1811443
gene_symbol,Lpgat1
analysis_id,6ehn2372794h8w9
