gene_symbol,Slx4ip
analysis_id,mb686h87pn285zk
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
pvalue,0.7893645
mouse_strain,C57BL
