parameter_id,MGP_MLN_072_001
analysis_id,7r0z5g0e5tkr593
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.3196201
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
gene_symbol,Bcs1l
