analysis_id,72er0cf7h6a0dc5
gene_accession_id,MGI:1339969
gene_symbol,Gja10
parameter_id,IMPC_GEL_063_001
mouse_strain,C56BL
parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
pvalue,0.9019743
