parameter_name,Iron
gene_symbol,Mms22l
pvalue,0.6283977
mouse_strain,129SV
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,v665v1mc2635f2c
