analysis_id,5ehgbxh8125mzi8
pvalue,0.7093704
gene_accession_id,MGI:99501
parameter_name,Monocytes
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
gene_symbol,Fgb
mouse_life_stage,E15.5
