analysis_id,68714d7d8y0us9z
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:107566
gene_symbol,Kifap3
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.7957844
