parameter_name,Magnesium
mouse_strain,C57BL
analysis_id,a0n23360hw1l47p
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:2446186
pvalue,0.9562212
