analysis_id,z93j9y6905q7961
gene_symbol,Eprs1
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
pvalue,0.6896817
