analysis_id,k3mi787b094157l
gene_accession_id,MGI:3026886
pvalue,0.1508902
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,E9.5
parameter_id,MGP_IMM_022_001
gene_symbol,Cdin1
