analysis_id,1iiyuy9n0m6x7j6
pvalue,0.7778041
mouse_strain,C57BL
gene_accession_id,MGI:1931749
parameter_name,Embryo turning
gene_symbol,Pum1
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
