analysis_id,0c6m33y17e5z035
parameter_id,IMPC_GEO_009_002
parameter_name,Hemorrhage
gene_accession_id,MGI:104848
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7900795
gene_symbol,Inpp1
