mouse_life_stage,E18.5
gene_symbol,Grem2
gene_accession_id,MGI:1344367
analysis_id,i5dmco06358l4v4
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
mouse_strain,C57BL
pvalue,0.1772925
