gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
analysis_id,3n0r60n1lv08asf
pvalue,0.5249457
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
