parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:2385884
analysis_id,t5j233c3x9hxd50
pvalue,0.9169703
parameter_id,IMPC_GEO_011_001
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Ddx27
