gene_symbol,Hpca
mouse_life_stage,Late adult
pvalue,0.4121861
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,IMPC_XRY_001_001
analysis_id,4kv3kxbl0x2oa4i
parameter_name,Skull shape
