analysis_id,pz0lek976p7jmyh
parameter_name,Neutrophil percentage
pvalue,0.9643404
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
gene_symbol,Morn5
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
