analysis_id,hj6b7q57ry147q5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc5b
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1913576
pvalue,0.2168166
parameter_name,Resting NK cells - % of NK cells
