parameter_name,Lumbar processes
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_id,IMPC_XRY_065_001
analysis_id,t12164c3b7g184z
pvalue,0.5162503
gene_symbol,Trim46
mouse_life_stage,Early adult
