analysis_id,046xfgj4d0nc59s
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
pvalue,0.2285518
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_id,MGP_IMM_033_001
gene_symbol,Ap5s1
