parameter_name,Basophil cell count
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,Inpp1
pvalue,0.7267638
parameter_id,IMPC_HEM_037_001
analysis_id,6kjz9hr85c2s37v
mouse_life_stage,Early adult
