parameter_id,IMPC_OFD_010_001
mouse_life_stage,E12.5
analysis_id,pht2g09f40c61l5
pvalue,0.3262678
parameter_name,Periphery distance travelled
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
