analysis_id,p9g79tvb71eqmpz
gene_symbol,Bpifa3
parameter_name,Neural tube closure
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
pvalue,0.830812
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
