analysis_id,gz4y1euu874xlis
gene_symbol,Alkbh3
parameter_id,IMPC_GEL_017_002
pvalue,0.8278329
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
parameter_name,Pale yolk sac
mouse_strain,C59BL
