gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Heart weight
pvalue,0.7792183
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,s9p2ad7f42zory4
parameter_id,HMGULA_HWT_008_001
