gene_symbol,Rab22a
analysis_id,olu557jko731050
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A)
pvalue,0.4774245
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:105072
