parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:95457
analysis_id,87p544833imf77n
mouse_strain,C3H
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,MECOM
pvalue,0.5279024
