gene_symbol,Ift74
analysis_id,v23dtlx95c1dre3
mouse_life_stage,Early adult
pvalue,0.9083527
parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
