parameter_name,Dark side time spent
pvalue,0.2938389
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
analysis_id,35ofq801373516f
gene_symbol,Ints7
