gene_symbol,Slx4ip
pvalue,0.1682908
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:1921493
parameter_id,MGP_PBI_031_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t52y3l77u5lau9n
