parameter_name,MZB (CD21/35 high)
gene_symbol,Mecom
mouse_strain,C3H
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,IMPC_IMM_071_001
analysis_id,09v3031m77f1k2d
pvalue,0.7986447
