gene_symbol,Kdm4c
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,ldfth3j068m40ly
pvalue,0.4185566
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
