analysis_id,95e4s24ldp8q0hv
gene_symbol,Atg4c
parameter_name,Effector Treg cells - % of Treg
pvalue,0.6757538
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
parameter_id,MGP_MLN_009_001
