parameter_id,UCD_OWT_008_001
mouse_life_stage,E12.5
gene_symbol,Tiprl
pvalue,0.9100377
parameter_name,Liver weight
analysis_id,ub9587znm622ak0
mouse_strain,C57BL
gene_accession_id,MGI:1915087
