analysis_id,6xk9x1n89okvzlp
mouse_strain,C57BL
parameter_name,Body position
parameter_id,ESLIM_008_001_001
pvalue,0.9711167
gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
