parameter_name,Magnesium
mouse_life_stage,Early adult
pvalue,0.2383781
gene_symbol,Mms22l
mouse_strain,C57BL
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:2684980
analysis_id,zqb0gd09e615sh3
