gene_symbol,Cds2
analysis_id,1387b1ug4301em5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.206998
