parameter_name,Red blood cell count
pvalue,0.8331115
analysis_id,1vnhb36431c0804
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
