analysis_id,332t154a04xg388
parameter_name,Fat/Body weight
gene_accession_id,MGI:109356
pvalue,0.8601996
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
gene_symbol,Snap23
mouse_life_stage,Late adult
