parameter_name,Zygomatic bone
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
analysis_id,h75v1y73o6s327p
mouse_strain,C57BL
pvalue,0.8753672
