parameter_id,IMPC_IMM_064_001
pvalue,0.8965515
analysis_id,631vzx153ab3b8t
parameter_name,B1B Cells
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mecom
gene_accession_id,MGI:95457
