parameter_name,Hemorrhage
gene_symbol,AU040320
mouse_life_stage,Early adult
analysis_id,219o332dy4nf9s4
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.283841
parameter_id,IMPC_GEO_009_002
