analysis_id,r6j1oqm647hi47f
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.530177
parameter_id,UCDLA_EYE_083_001
mouse_life_stage,Late adult
parameter_name,Vitreous
