parameter_name,Neural tube morphology
gene_symbol,Dnajc5b
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3649515
analysis_id,qj0l53q133eu9k3
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:1913576
