parameter_name,Cornea vascularisation
parameter_id,ESLIM_014_001_008
mouse_strain,C57BL
pvalue,0.5636606
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
analysis_id,240irsl915is8im
