analysis_id,7k61203172m17py
pvalue,0.2361474
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,lens
