analysis_id,n474q653e6ow69z
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
gene_symbol,Orc2
parameter_name,Neural tube morphology
pvalue,0.319439
