gene_symbol,Arnt
analysis_id,h9h2q561c09d2iu
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,JAXLA_GRS_011_001
pvalue,0.5687139
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
