gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
mouse_strain,C57BL
gene_accession_id,MGI:1345282
analysis_id,exsp142756822q1
pvalue,0.3975479
