gene_symbol,Pglyrp3
pvalue,0.3621028
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Red blood cell count
gene_accession_id,MGI:2685266
analysis_id,2r9h8s2r1f495pj
