mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1923959
pvalue,0.8910032
analysis_id,44i6v62n8509z59
gene_symbol,Arpc2
parameter_name,Creatinine
