parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Cdin1
analysis_id,903b4148ln6t7z1
pvalue,0.4822549
parameter_name,Latency to center entry
