parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:2653612
analysis_id,mnlz70hf872ih23
pvalue,0.513397
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Amigo1
mouse_strain,C57BL
mouse_life_stage,Early adult
