parameter_name,Right total retinal thickness
analysis_id,8uvw6527f6l648h
gene_accession_id,MGI:104805
pvalue,0.1698616
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
gene_symbol,Snrpb2
mouse_life_stage,Early adult
