parameter_name,Distance travelled - total
gene_symbol,Col6a3
gene_accession_id,MGI:88461
parameter_id,IMPC_OFD_020_001
pvalue,0.4814052
mouse_life_stage,Early adult
analysis_id,hshnv2076ab0020
mouse_strain,C57BL
